orderdate,status,customername,country,quantityordered,priceeach,productline,productname
2003-01-06,Shipped,Online Diecast Creations Co.,USA,30,136.00,Vintage Cars,1917 Grand Touring Sedan
2003-01-06,Shipped,Online Diecast Creations Co.,USA,50,55.09,Vintage Cars,1911 Ford Town Car
2003-01-06,Shipped,Online Diecast Creations Co.,USA,22,75.46,Vintage Cars,1932 Alfa Romeo 8C2300 Spider Sport
2003-01-06,Shipped,Online Diecast Creations Co.,USA,49,35.29,Vintage Cars,1936 Mercedes Benz 500k Roadster
2003-01-09,Shipped,"Blauer See Auto, Co.",Germany,25,108.06,Vintage Cars,1932 Model A Ford J-Coupe
2003-01-09,Shipped,"Blauer See Auto, Co.",Germany,26,167.06,Vintage Cars,1928 Mercedes-Benz SSK
2003-01-09,Shipped,"Blauer See Auto, Co.",Germany,45,32.53,Vintage Cars,1939 Chevrolet Deluxe Coupe
2003-01-09,Shipped,"Blauer See Auto, Co.",Germany,46,44.35,Vintage Cars,1938 Cadillac V-16 Presidential Limousine
2003-01-10,Shipped,Vitachrome Inc.,USA,39,95.55,Vintage Cars,1937 Lincoln Berline
2003-01-10,Shipped,Vitachrome Inc.,USA,41,43.13,Vintage Cars,1936 Mercedes-Benz 500K Special Roadster
2003-01-29,Shipped,Baane Mini Imports,Norway,26,214.30,Classic Cars,1952 Alpine Renault 1300
2003-01-29,Shipped,Baane Mini Imports,Norway,42,119.67,Classic Cars,1962 LanciaA Delta 16V
2003-01-29,Shipped,Baane Mini Imports,Norway,27,121.64,Trucks and Buses,1958 Setra Bus
2003-01-29,Shipped,Baane Mini Imports,Norway,35,94.50,Trucks and Buses,1940 Ford Pickup Truck
2003-01-29,Shipped,Baane Mini Imports,Norway,22,58.34,Trucks and Buses,1926 Ford Fire Engine
2003-01-29,Shipped,Baane Mini Imports,Norway,27,92.19,Vintage Cars,1913 Ford Model T Speedster
2003-01-29,Shipped,Baane Mini Imports,Norway,35,61.84,Vintage Cars,1934 Ford V8 Coupe
2003-01-29,Shipped,Baane Mini Imports,Norway,25,86.92,Vintage Cars,18th Century Vintage Horse Carriage
2003-01-29,Shipped,Baane Mini Imports,Norway,46,86.31,Vintage Cars,1917 Maxwell Touring Car
2003-01-29,Shipped,Baane Mini Imports,Norway,36,98.07,Trucks and Buses,1940s Ford truck
2003-01-29,Shipped,Baane Mini Imports,Norway,41,40.75,Vintage Cars,1939 Cadillac Limousine
2003-01-29,Shipped,Baane Mini Imports,Norway,36,107.34,Trucks and Buses,1962 Volkswagen Microbus
2003-01-29,Shipped,Baane Mini Imports,Norway,25,88.62,Vintage Cars,1936 Chrysler Airflow
2003-01-29,Shipped,Baane Mini Imports,Norway,31,92.46,Trucks and Buses,1980âs GM Manhattan Express
2003-01-29,Shipped,Baane Mini Imports,Norway,45,63.35,Trucks and Buses,1996 Peterbilt 379 Stake Bed with Outrigger
2003-01-29,Shipped,Baane Mini Imports,Norway,42,94.07,Classic Cars,1982 Camaro Z28
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,34,131.44,Classic Cars,1969 Corvair Monza
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,41,111.39,Trucks and Buses,1957 Chevy Pickup
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,24,135.90,Classic Cars,1998 Chrysler Plymouth Prowler
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,29,122.73,Trucks and Buses,1964 Mercedes Tour Bus
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,23,165.95,Classic Cars,1992 Ferrari 360 Spider red
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,38,119.20,Classic Cars,1970 Triumph Spitfire
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,35,52.02,Classic Cars,1970 Dodge Coronet
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,44,30.41,Classic Cars,1958 Chevy Corvette Limited Edition
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,26,106.45,Classic Cars,1992 Porsche Cayenne Turbo Silver
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,35,51.95,Trucks and Buses,1954 Greyhound Scenicruiser
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,49,56.55,Trains,1950's Chicago Surface Lines Streetcar
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,33,114.59,Trucks and Buses,Diamond T620 Semi-Skirted Tanker
2003-01-31,Shipped,Euro+ Shopping Channel,Spain,32,53.31,Trains,1962 City of Detroit Streetcar
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,50,127.84,Classic Cars,1972 Alfa Romeo GTA
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,41,205.72,Classic Cars,2001 Ferrari Enzo
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,29,141.88,Classic Cars,1969 Ford Falcon
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,22,136.59,Vintage Cars,1903 Ford Model A
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,38,87.73,Trains,Collectable Wooden Train
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,41,75.48,Vintage Cars,1904 Buick Runabout
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,43,117.97,Ships,18th century schooner
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,44,73.46,Vintage Cars,1912 Ford Model T Delivery Wagon
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,50,75.47,Vintage Cars,1940 Ford Delivery Sedan
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,41,54.00,Ships,The Schooner Bluenose
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,29,86.61,Ships,The Mayflower
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,31,60.72,Ships,The USS Constitution Ship
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,39,92.16,Ships,The Titanic
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,22,99.31,Ships,The Queen Mary
2003-02-11,Shipped,Danish Wholesale Imports,Denmark,25,44.77,Ships,Pont Yacht
2003-02-17,Shipped,Rovelli Gifts,Italy,36,134.04,Planes,1980s Black Hawk Helicopter
2003-02-17,Shipped,Rovelli Gifts,Italy,34,81.10,Planes,P-51-D Mustang
2003-02-17,Shipped,Rovelli Gifts,Italy,41,80.86,Ships,1999 Yamaha Speed Boat
2003-02-17,Shipped,Rovelli Gifts,Italy,41,94.22,Vintage Cars,1941 Chevrolet Special Deluxe Cabriolet
2003-02-17,Shipped,Rovelli Gifts,Italy,28,107.23,Planes,1928 British Royal Navy Airplane
2003-02-17,Shipped,Rovelli Gifts,Italy,49,65.77,Planes,1900s Vintage Bi-Plane
2003-02-17,Shipped,Rovelli Gifts,Italy,31,55.89,Vintage Cars,1937 Horch 930V Limousine
2003-02-17,Shipped,Rovelli Gifts,Italy,50,55.96,Planes,Corsair F4U ( Bird Cage)
2003-02-17,Shipped,Rovelli Gifts,Italy,26,71.00,Planes,1900s Vintage Tri-Plane
2003-02-17,Shipped,Rovelli Gifts,Italy,33,65.35,Vintage Cars,1928 Ford Phaeton Deluxe
2003-02-17,Shipped,Rovelli Gifts,Italy,39,35.78,Vintage Cars,1930 Buick Marquette Phaeton
2003-02-17,Shipped,Rovelli Gifts,Italy,31,91.34,Planes,American Airlines: B767-300
2003-02-17,Shipped,Rovelli Gifts,Italy,30,85.09,Ships,HMS Bounty
2003-02-17,Shipped,Rovelli Gifts,Italy,34,99.72,Planes,America West Airlines B757-200
2003-02-17,Shipped,Rovelli Gifts,Italy,32,113.90,Planes,ATA: B757-300
2003-02-17,Shipped,Rovelli Gifts,Italy,44,76.00,Planes,F/A 18 Hornet 1/72
2003-02-17,Shipped,Rovelli Gifts,Italy,48,70.33,Planes,American Airlines: MD-11S
2003-02-17,Shipped,Rovelli Gifts,Italy,48,43.70,Planes,Boeing X-32A JSF
2003-02-24,Shipped,Land of Toys Inc.,USA,30,81.35,Motorcycles,1969 Harley Davidson Ultimate Chopper
2003-02-24,Shipped,Land of Toys Inc.,USA,39,105.86,Motorcycles,1996 Moto Guzzi 1100i
2003-02-24,Shipped,Land of Toys Inc.,USA,27,172.36,Motorcycles,2003 Harley-Davidson Eagle Drag Bike
2003-02-24,Shipped,Land of Toys Inc.,USA,21,122.00,Motorcycles,2002 Suzuki XREO
2003-02-24,Shipped,Land of Toys Inc.,USA,29,52.70,Motorcycles,1936 Harley Davidson El Knucklehead
2003-02-24,Shipped,Land of Toys Inc.,USA,25,96.92,Motorcycles,1997 BMW R 1100 S
2003-02-24,Shipped,Land of Toys Inc.,USA,38,73.12,Motorcycles,1960 BSA Gold Star DBD34
2003-02-24,Shipped,Land of Toys Inc.,USA,20,88.90,Motorcycles,1997 BMW F650 ST
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,33,165.38,Classic Cars,1968 Ford Mustang
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,45,96.30,Classic Cars,1968 Dodge Charger
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,39,75.81,Classic Cars,1970 Plymouth Hemi Cuda
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,36,107.10,Classic Cars,1969 Dodge Charger
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,38,67.76,Classic Cars,1948 Porsche 356-A Roadster
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,26,73.17,Classic Cars,1969 Dodge Super Bee
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,29,132.29,Classic Cars,1976 Ford Gran Torino
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,43,52.84,Motorcycles,1957 Vespa GS150
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,44,139.87,Classic Cars,1957 Corvette Convertible
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,35,64.41,Motorcycles,1982 Ducati 900 Monster
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,30,60.01,Classic Cars,1971 Alpine Renault 1600s
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,40,132.00,Classic Cars,1956 Porsche 356A Coupe
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,31,67.10,Classic Cars,1961 Chevrolet Impala
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,27,36.21,Motorcycles,1982 Ducati 996 R
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,31,87.76,Motorcycles,1974 Ducati 350 Mk3 Desmo
2003-03-03,Shipped,Cruz & Sons Co.,Philippines,34,74.85,Motorcycles,2002 Yamaha YZR M1
2003-03-10,Shipped,Motor Mint Distributors Inc.,USA,26,117.48,Classic Cars,1993 Mazda RX-7
2003-03-10,Shipped,Motor Mint Distributors Inc.,USA,38,137.98,Classic Cars,1995 Honda Civic
2003-03-10,Shipped,Motor Mint Distributors Inc.,USA,26,126.72,Classic Cars,1999 Indy 500 Monte Carlo SS
2003-03-10,Shipped,Motor Mint Distributors Inc.,USA,46,160.87,Classic Cars,1992 Ferrari 360 Spider red
2003-03-10,Shipped,Motor Mint Distributors Inc.,USA,47,125.74,Classic Cars,1948 Porsche Type 356 Roadster
2003-03-10,Shipped,Motor Mint Distributors Inc.,USA,29,32.10,Classic Cars,1982 Lamborghini Diablo
2003-03-18,Shipped,"AV Stores, Co.",UK,37,118.22,Classic Cars,1965 Aston Martin DB5
